Date,StudyUID,Number participants,Number bins,Mailbox check interval,Fastest processing time,Slowest processing time,Mean processing time,Number messages received,Total size messages received,Number messages sent,Total size messages sent
Thu Jun 15 10:02:44 GMT 2023,7451DB95,20,10000,20000,43491,53711,51688.95,760,0,760,319308100
Thu Jun 15 10:03:38 GMT 2023,167ADF15,20,10000,20000,43265,53126,51236.25,760,0,760,319254768
Thu Jun 15 10:04:33 GMT 2023,B7ECFAD7,20,10000,20000,42624,53918,52197.4,760,0,760,319308800
Thu Jun 15 10:05:29 GMT 2023,B17F81AC,20,10000,20000,43266,54448,52513.75,760,0,760,319297920
Thu Jun 15 10:06:23 GMT 2023,D6C808C9,20,10000,20000,43324,53504,51871.1,760,0,760,319282508
Thu Jun 15 10:07:18 GMT 2023,74AF767F,20,10000,20000,43008,53321,51981.65,760,0,760,319389528
Thu Jun 15 10:08:13 GMT 2023,32A12973,20,10000,20000,43243,54514,52849.65,760,0,760,319348660
Thu Jun 15 10:09:08 GMT 2023,C9E68FAB,20,10000,20000,42888,54181,52717.45,760,0,760,319393364
Thu Jun 15 10:10:04 GMT 2023,E97611E7,20,10000,20000,43136,53721,51998.25,760,0,760,319360656
Thu Jun 15 10:10:58 GMT 2023,6BAA196E,20,10000,20000,42758,52950,51592.15,760,0,760,319290740
Thu Jun 15 10:11:53 GMT 2023,2AD3D50D,20,10000,20000,43156,53526,52072.05,760,0,760,319322356
Thu Jun 15 10:12:47 GMT 2023,B7F7F8E4,20,10000,20000,43052,53980,52392.15,760,0,760,319388384
Thu Jun 15 10:13:43 GMT 2023,73B33A23,20,10000,20000,43151,54069,52355.7,760,0,760,319326484
Thu Jun 15 10:14:37 GMT 2023,A0030FCB,20,10000,20000,43330,53600,52442.85,760,0,760,319348484
Thu Jun 15 10:15:32 GMT 2023,64849CEE,20,10000,20000,43068,53593,52183.25,760,0,760,319363696
Thu Jun 15 10:16:17 GMT 2023,6785AF61,20,10000,15000,33158,43615,41990.15,760,0,760,319357424
Thu Jun 15 10:17:01 GMT 2023,7C58E86E,20,10000,15000,32988,43172,41765.45,760,0,760,319318296
